Date,Currency,CPI
1988-01-31 00:00:00,USD,116.000000
1988-02-29 00:00:00,USD,116.200000
1988-03-31 00:00:00,USD,116.500000
1988-04-30 00:00:00,USD,117.200000
1988-05-31 00:00:00,USD,117.500000
1988-06-30 00:00:00,USD,118.000000
1988-07-31 00:00:00,USD,118.500000
1988-08-31 00:00:00,USD,119.000000
1988-09-30 00:00:00,USD,119.500000
1988-10-31 00:00:00,USD,119.900000
1988-11-30 00:00:00,USD,120.300000
1988-12-31 00:00:00,USD,120.700000
1989-01-31 00:00:00,USD,121.200000
1989-02-28 00:00:00,USD,121.600000
1989-03-31 00:00:00,USD,122.200000
1989-04-30 00:00:00,USD,123.100000
1989-05-31 00:00:00,USD,123.700000
1989-06-30 00:00:00,USD,124.100000
1989-07-31 00:00:00,USD,124.500000
1989-08-31 00:00:00,USD,124.500000
1989-09-30 00:00:00,USD,124.800000
1989-10-31 00:00:00,USD,125.400000
1989-11-30 00:00:00,USD,125.900000
1989-12-31 00:00:00,USD,126.300000
1990-01-31 00:00:00,USD,127.500000
1990-02-28 00:00:00,USD,128.000000
1990-03-31 00:00:00,USD,128.600000
1990-04-30 00:00:00,USD,128.900000
1990-05-31 00:00:00,USD,129.100000
1990-06-30 00:00:00,USD,129.900000
1990-07-31 00:00:00,USD,130.500000
1990-08-31 00:00:00,USD,131.600000
1990-09-30 00:00:00,USD,132.500000
1990-10-31 00:00:00,USD,133.400000
1990-11-30 00:00:00,USD,133.700000
1990-12-31 00:00:00,USD,134.200000
1991-01-31 00:00:00,USD,134.700000
1991-02-28 00:00:00,USD,134.800000
1991-03-31 00:00:00,USD,134.800000
1991-04-30 00:00:00,USD,135.100000
1991-05-31 00:00:00,USD,135.600000
1991-06-30 00:00:00,USD,136.000000
1991-07-31 00:00:00,USD,136.200000
1991-08-31 00:00:00,USD,136.600000
1991-09-30 00:00:00,USD,137.000000
1991-10-31 00:00:00,USD,137.200000
1991-11-30 00:00:00,USD,137.800000
1991-12-31 00:00:00,USD,138.200000
1992-01-31 00:00:00,USD,138.300000
1992-02-29 00:00:00,USD,138.600000
1992-03-31 00:00:00,USD,139.100000
1992-04-30 00:00:00,USD,139.400000
1992-05-31 00:00:00,USD,139.700000
1992-06-30 00:00:00,USD,140.100000
1992-07-31 00:00:00,USD,140.500000
1992-08-31 00:00:00,USD,140.800000
1992-09-30 00:00:00,USD,141.100000
1992-10-31 00:00:00,USD,141.700000
1992-11-30 00:00:00,USD,142.100000
1992-12-31 00:00:00,USD,142.300000
1993-01-31 00:00:00,USD,142.800000
1993-02-28 00:00:00,USD,143.100000
1993-03-31 00:00:00,USD,143.300000
1993-04-30 00:00:00,USD,143.800000
1993-05-31 00:00:00,USD,144.200000
1993-06-30 00:00:00,USD,144.300000
1993-07-31 00:00:00,USD,144.500000
1993-08-31 00:00:00,USD,144.800000
1993-09-30 00:00:00,USD,145.000000
1993-10-31 00:00:00,USD,145.600000
1993-11-30 00:00:00,USD,146.000000
1993-12-31 00:00:00,USD,146.300000
1994-01-31 00:00:00,USD,146.300000
1994-02-28 00:00:00,USD,146.700000
1994-03-31 00:00:00,USD,147.100000
1994-04-30 00:00:00,USD,147.200000
1994-05-31 00:00:00,USD,147.500000
1994-06-30 00:00:00,USD,147.900000
1994-07-31 00:00:00,USD,148.400000
