Date,Currency,CPI
1988-01-31 00:00:00,USD,1.000000
1988-02-29 00:00:00,USD,1.001724
1988-03-31 00:00:00,USD,1.004310
1988-04-30 00:00:00,USD,1.010345
1988-05-31 00:00:00,USD,1.012931
1988-06-30 00:00:00,USD,1.017241
1988-07-31 00:00:00,USD,1.021552
1988-08-31 00:00:00,USD,1.025862
1988-09-30 00:00:00,USD,1.030172
1988-10-31 00:00:00,USD,1.033621
1988-11-30 00:00:00,USD,1.037069
1988-12-31 00:00:00,USD,1.040517
1989-01-31 00:00:00,USD,1.044828
1989-02-28 00:00:00,USD,1.048276
1989-03-31 00:00:00,USD,1.053448
1989-04-30 00:00:00,USD,1.061207
1989-05-31 00:00:00,USD,1.066379
1989-06-30 00:00:00,USD,1.069828
1989-07-31 00:00:00,USD,1.073276
1989-08-31 00:00:00,USD,1.073276
1989-09-30 00:00:00,USD,1.075862
1989-10-31 00:00:00,USD,1.081034
1989-11-30 00:00:00,USD,1.085345
1989-12-31 00:00:00,USD,1.088793
1990-01-31 00:00:00,USD,1.099138
1990-02-28 00:00:00,USD,1.103448
1990-03-31 00:00:00,USD,1.108621
1990-04-30 00:00:00,USD,1.111207
1990-05-31 00:00:00,USD,1.112931
1990-06-30 00:00:00,USD,1.119828
1990-07-31 00:00:00,USD,1.125000
1990-08-31 00:00:00,USD,1.134483
1990-09-30 00:00:00,USD,1.142241
1990-10-31 00:00:00,USD,1.150000
1990-11-30 00:00:00,USD,1.152586
1990-12-31 00:00:00,USD,1.156897
1991-01-31 00:00:00,USD,1.161207
1991-02-28 00:00:00,USD,1.162069
1991-03-31 00:00:00,USD,1.162069
1991-04-30 00:00:00,USD,1.164655
1991-05-31 00:00:00,USD,1.168966
1991-06-30 00:00:00,USD,1.172414
1991-07-31 00:00:00,USD,1.174138
1991-08-31 00:00:00,USD,1.177586
1991-09-30 00:00:00,USD,1.181034
1991-10-31 00:00:00,USD,1.182759
1991-11-30 00:00:00,USD,1.187931
1991-12-31 00:00:00,USD,1.191379
1992-01-31 00:00:00,USD,1.192241
1992-02-29 00:00:00,USD,1.194828
1992-03-31 00:00:00,USD,1.199138
1992-04-30 00:00:00,USD,1.201724
1992-05-31 00:00:00,USD,1.204310
1992-06-30 00:00:00,USD,1.207759
1992-07-31 00:00:00,USD,1.211207
1992-08-31 00:00:00,USD,1.213793
1992-09-30 00:00:00,USD,1.216379
1992-10-31 00:00:00,USD,1.221552
1992-11-30 00:00:00,USD,1.225000
1992-12-31 00:00:00,USD,1.226724
1993-01-31 00:00:00,USD,1.231034
1993-02-28 00:00:00,USD,1.233621
1993-03-31 00:00:00,USD,1.235345
1993-04-30 00:00:00,USD,1.239655
1993-05-31 00:00:00,USD,1.243103
1993-06-30 00:00:00,USD,1.243966
1993-07-31 00:00:00,USD,1.245690
1993-08-31 00:00:00,USD,1.248276
1993-09-30 00:00:00,USD,1.250000
