"Index","AUD","CAD","CHF","EUR","GBP","JPY"
1985-12-31,0.682,0.71429,0.48532,0.7996,1.4455,0.004994
1986-01-01,0.6824,0.71441,0.48532,0.80157,1.448,0.0050176
1986-01-02,0.682,0.71271,0.48733,0.80454,1.457,0.0050297
1986-01-03,0.6815,0.712,0.48379,0.79602,1.4395,0.0049407
1986-01-06,0.6807,0.71139,0.48328,0.7983,1.435,0.0049542
1986-01-07,0.6885,0.71505,0.48379,0.8019,1.441,0.0049628
1986-01-08,0.6892,0.71317,0.47939,0.79489,1.4435,0.0049488
1986-01-09,0.6925,0.71726,0.48112,0.80355,1.464,0.004964
1986-01-10,0.6953,0.71736,0.48088,0.79434,1.449,0.0049412
1986-01-13,0.694,0.71495,0.47529,0.79473,1.4445,0.0049395
1986-01-14,0.6892,0.71023,0.47797,0.7928,1.44,0.0049371
1986-01-15,0.6935,0.71018,0.48019,0.79554,1.4435,0.0049422
1986-01-16,0.6967,0.71301,0.47992,0.79312,1.4365,0.0049395
1986-01-17,0.7011,0.71403,0.47847,0.79376,1.436,0.0049395
1986-01-20,0.6973,0.71311,0.4771,0.79344,1.413,0.0049432
1986-01-21,0.701,0.71215,0.47992,0.79586,1.408,0.0049432
1986-01-22,0.7101,0.7119,0.48239,0.79726,1.3965,0.0049579
1986-01-23,0.708,0.71088,0.48207,0.7983,1.391,0.0049522
1986-01-24,0.7107,0.70736,0.48864,0.81104,1.395,0.0051046
1986-01-27,0.7125,0.70462,0.4914,0.81351,1.389,0.0051046
1986-01-28,0.712,0.70567,0.4922,0.81476,1.4045,0.0051086
1986-01-29,0.7141,0.70587,0.49517,0.81834,1.4015,0.005156
1986-01-30,0.714,0.70314,0.49697,0.82264,1.4115,0.0051862
1986-01-31,0.7153,0.7019,0.49334,0.81844,1.4115,0.0051997
1986-02-03,0.7069,0.6958,0.49128,0.81578,1.387,0.0052238
1986-02-04,0.6903,0.69228,0.48943,0.81121,1.371,0.0052124
1986-02-05,0.6938,0.70447,0.49579,0.81937,1.393,0.0052471
1986-02-06,0.7003,0.71149,0.49476,0.81452,1.3937,0.0052351
1986-02-07,0.6955,0.71088,0.49116,0.81323,1.395,0.0052383
1986-02-10,0.6941,0.7151,0.4987,0.82057,1.4095,0.0053262
1986-02-11,0.6907,0.71556,0.50416,0.82351,1.408,0.0053362
1986-02-12,0.6864,0.71393,0.50834,0.82612,1.4093,0.0053602
1986-02-13,0.6883,0.71546,0.51295,0.83273,1.418,0.0054735
1986-02-14,0.706,0.71674,0.51256,0.83369,1.417,0.0055005
1986-02-17,0.7018,0.71659,0.51929,0.83636,1.421,0.005554
1986-02-18,0.7047,0.71633,0.51594,0.83797,1.428,0.0055432
1986-02-19,0.7078,0.71958,0.52452,0.83905,1.444,0.005531
1986-02-20,0.7065,0.71886,0.52132,0.84944,1.45,0.0055233
1986-02-21,0.7017,0.72005,0.5168,0.84844,1.4495,0.0054639
1986-02-24,0.7045,0.72036,0.52529,0.8616,1.471,0.0055081
1986-02-25,0.7075,0.71685,0.53022,0.87431,1.4925,0.0055392
1986-02-26,0.7085,0.71839,0.53177,0.87784,1.4808,0.0055081
1986-02-27,0.7033,0.70621,0.53348,0.88041,1.474,0.0055432
1986-02-28,0.7,0.70348,0.53008,0.87883,1.449,0.0055432
1986-03-03,0.694,0.69808,0.53228,0.88439,1.4455,0.0055757
1986-03-04,0.6995,0.70771,0.53447,0.888,1.4645,0.0055835
1986-03-05,0.702,0.70447,0.52715,0.86058,1.446,0.0055157
1986-03-06,0.702,0.70847,0.52687,0.87178,1.4605,0.0055741
1986-03-07,0.7015,0.7125,0.5305,0.87548,1.4535,0.00558
1986-03-10,0.7017,0.71608,0.51714,0.85937,1.4435,0.0055445
1986-03-11,0.7055,0.71495,0.52043,0.86312,1.454,0.0055633
1986-03-12,0.703,0.71649,0.51653,0.85876,1.4672,0.0055642
1986-03-13,0.704,0.71572,0.51781,0.85352,1.462,0.0055664
1986-03-14,0.704,0.71932,0.5259,0.85632,1.462,0.0055748
1986-03-17,0.709,0.72114,0.53129,0.8686,1.4639,0.0056931
1986-03-18,0.713,0.72036,0.53079,0.87003,1.476,0.0057192
1986-03-19,0.712,0.71829,0.52779,0.86503,1.4796,0.0056571
1986-03-20,0.7125,0.71444,0.52815,0.86675,1.488,0.005677
1986-03-21,0.7133,0.71649,0.53356,0.87197,1.511,0.0056899
1986-03-24,0.7165,0.71256,0.52187,0.85389,1.484,0.0055897
1986-03-25,0.723,0.71291,0.5102,0.83779,1.4713,0.0055602
1986-03-26,0.7113,0.71388,0.5123,0.83959,1.4735,0.0055664
1986-03-27,0.7118,0.71597,0.5123,0.83959,1.4765,0.0055726
1986-03-28,0.713,0.71582,0.5123,0.83905,1.478,0.0055679
